,Instruction,Number of memory acess,Number of micro instruction
0,"ADD R1,R2",1,3
1,"ADD R1,(R2)+",3,5
2,"ADD R1,-(R2)",3,5
3,"ADD R1,X(R2)",4,6
4,"ADD R1,@R2",3,5
5,"ADD R1,@(R2)+",4,6
6,"ADD R1,@-(R2)",4,6
7,"ADD R1,@X(R2)",5,7
8,"ADD (R1)+,R2",2,4
9,"ADD (R1)+,(R2)+",4,6
10,"ADD (R1)+,-(R2)",4,6
11,"ADD (R1)+,X(R2)",5,7
12,"ADD (R1)+,@R2",4,6
13,"ADD (R1)+,@(R2)+",5,7
14,"ADD (R1)+,@-(R2)",5,7
15,"ADD (R1)+,@X(R2)",6,8
16,"ADD -(R1),R2",2,4
17,"ADD -(R1),(R2)+",4,6
18,"ADD -(R1),-(R2)",4,6
19,"ADD -(R1),X(R2)",5,7
20,"ADD -(R1),@R2",4,6
21,"ADD -(R1),@(R2)+",5,7
22,"ADD -(R1),@-(R2)",5,7
23,"ADD -(R1),@X(R2)",6,8
24,"ADD X(R1),R2",3,5
25,"ADD X(R1),(R2)+",5,7
26,"ADD X(R1),-(R2)",5,7
27,"ADD X(R1),X(R2)",6,8
28,"ADD X(R1),@R2",5,7
29,"ADD X(R1),@(R2)+",6,8
30,"ADD X(R1),@-(R2)",6,8
31,"ADD X(R1),@X(R2)",7,9
32,"ADD @R1,R2",2,4
33,"ADD @R1,(R2)+",4,6
34,"ADD @R1,-(R2)",4,6
35,"ADD @R1,X(R2)",5,7
36,"ADD @R1,@R2",4,6
37,"ADD @R1,@(R2)+",5,7
38,"ADD @R1,@-(R2)",5,7
39,"ADD @R1,@X(R2)",6,8
40,"ADD @(R1)+,R2",3,5
41,"ADD @(R1)+,(R2)+",5,7
42,"ADD @(R1)+,-(R2)",5,7
43,"ADD @(R1)+,X(R2)",6,8
44,"ADD @(R1)+,@R2",5,7
45,"ADD @(R1)+,@(R2)+",6,8
46,"ADD @(R1)+,@-(R2)",6,8
47,"ADD @(R1)+,@X(R2)",7,9
48,"ADD @-(R1),R2",3,5
49,"ADD @-(R1),(R2)+",5,7
50,"ADD @-(R1),-(R2)",5,7
51,"ADD @-(R1),X(R2)",6,8
52,"ADD @-(R1),@R2",5,7
53,"ADD @-(R1),@(R2)+",6,8
54,"ADD @-(R1),@-(R2)",6,8
55,"ADD @-(R1),@X(R2)",7,9
56,"ADD @X(R1),R2",4,6
57,"ADD @X(R1),(R2)+",6,8
58,"ADD @X(R1),-(R2)",6,8
59,"ADD @X(R1),X(R2)",7,9
60,"ADD @X(R1),@R2",6,8
61,"ADD @X(R1),@(R2)+",7,9
62,"ADD @X(R1),@-(R2)",7,9
63,"ADD @X(R1),@X(R2)",8,10
64,"ADC R1,R2",1,3
65,"ADC R1,(R2)+",3,5
66,"ADC R1,-(R2)",3,5
67,"ADC R1,X(R2)",4,6
68,"ADC R1,@R2",3,5
69,"ADC R1,@(R2)+",4,6
70,"ADC R1,@-(R2)",4,6
71,"ADC R1,@X(R2)",5,7
72,"ADC (R1)+,R2",2,4
73,"ADC (R1)+,(R2)+",4,6
74,"ADC (R1)+,-(R2)",4,6
75,"ADC (R1)+,X(R2)",5,7
76,"ADC (R1)+,@R2",4,6
77,"ADC (R1)+,@(R2)+",5,7
78,"ADC (R1)+,@-(R2)",5,7
79,"ADC (R1)+,@X(R2)",6,8
80,"ADC -(R1),R2",2,4
81,"ADC -(R1),(R2)+",4,6
82,"ADC -(R1),-(R2)",4,6
83,"ADC -(R1),X(R2)",5,7
84,"ADC -(R1),@R2",4,6
85,"ADC -(R1),@(R2)+",5,7
86,"ADC -(R1),@-(R2)",5,7
87,"ADC -(R1),@X(R2)",6,8
88,"ADC X(R1),R2",3,5
89,"ADC X(R1),(R2)+",5,7
90,"ADC X(R1),-(R2)",5,7
91,"ADC X(R1),X(R2)",6,8
92,"ADC X(R1),@R2",5,7
93,"ADC X(R1),@(R2)+",6,8
94,"ADC X(R1),@-(R2)",6,8
95,"ADC X(R1),@X(R2)",7,9
96,"ADC @R1,R2",2,4
97,"ADC @R1,(R2)+",4,6
98,"ADC @R1,-(R2)",4,6
99,"ADC @R1,X(R2)",5,7
100,"ADC @R1,@R2",4,6
101,"ADC @R1,@(R2)+",5,7
102,"ADC @R1,@-(R2)",5,7
103,"ADC @R1,@X(R2)",6,8
104,"ADC @(R1)+,R2",3,5
105,"ADC @(R1)+,(R2)+",5,7
106,"ADC @(R1)+,-(R2)",5,7
107,"ADC @(R1)+,X(R2)",6,8
108,"ADC @(R1)+,@R2",5,7
109,"ADC @(R1)+,@(R2)+",6,8
110,"ADC @(R1)+,@-(R2)",6,8
111,"ADC @(R1)+,@X(R2)",7,9
112,"ADC @-(R1),R2",3,5
113,"ADC @-(R1),(R2)+",5,7
114,"ADC @-(R1),-(R2)",5,7
115,"ADC @-(R1),X(R2)",6,8
116,"ADC @-(R1),@R2",5,7
117,"ADC @-(R1),@(R2)+",6,8
118,"ADC @-(R1),@-(R2)",6,8
119,"ADC @-(R1),@X(R2)",7,9
120,"ADC @X(R1),R2",4,6
121,"ADC @X(R1),(R2)+",6,8
122,"ADC @X(R1),-(R2)",6,8
123,"ADC @X(R1),X(R2)",7,9
124,"ADC @X(R1),@R2",6,8
125,"ADC @X(R1),@(R2)+",7,9
126,"ADC @X(R1),@-(R2)",7,9
127,"ADC @X(R1),@X(R2)",8,10
128,"SUB R1,R2",1,3
129,"SUB R1,(R2)+",3,5
130,"SUB R1,-(R2)",3,5
131,"SUB R1,X(R2)",4,6
132,"SUB R1,@R2",3,5
133,"SUB R1,@(R2)+",4,6
134,"SUB R1,@-(R2)",4,6
135,"SUB R1,@X(R2)",5,7
136,"SUB (R1)+,R2",2,4
137,"SUB (R1)+,(R2)+",4,6
138,"SUB (R1)+,-(R2)",4,6
139,"SUB (R1)+,X(R2)",5,7
140,"SUB (R1)+,@R2",4,6
141,"SUB (R1)+,@(R2)+",5,7
142,"SUB (R1)+,@-(R2)",5,7
143,"SUB (R1)+,@X(R2)",6,8
144,"SUB -(R1),R2",2,4
145,"SUB -(R1),(R2)+",4,6
146,"SUB -(R1),-(R2)",4,6
147,"SUB -(R1),X(R2)",5,7
148,"SUB -(R1),@R2",4,6
149,"SUB -(R1),@(R2)+",5,7
150,"SUB -(R1),@-(R2)",5,7
151,"SUB -(R1),@X(R2)",6,8
152,"SUB X(R1),R2",3,5
153,"SUB X(R1),(R2)+",5,7
154,"SUB X(R1),-(R2)",5,7
155,"SUB X(R1),X(R2)",6,8
156,"SUB X(R1),@R2",5,7
157,"SUB X(R1),@(R2)+",6,8
158,"SUB X(R1),@-(R2)",6,8
159,"SUB X(R1),@X(R2)",7,9
160,"SUB @R1,R2",2,4
161,"SUB @R1,(R2)+",4,6
162,"SUB @R1,-(R2)",4,6
163,"SUB @R1,X(R2)",5,7
164,"SUB @R1,@R2",4,6
165,"SUB @R1,@(R2)+",5,7
166,"SUB @R1,@-(R2)",5,7
167,"SUB @R1,@X(R2)",6,8
168,"SUB @(R1)+,R2",3,5
169,"SUB @(R1)+,(R2)+",5,7
170,"SUB @(R1)+,-(R2)",5,7
171,"SUB @(R1)+,X(R2)",6,8
172,"SUB @(R1)+,@R2",5,7
173,"SUB @(R1)+,@(R2)+",6,8
174,"SUB @(R1)+,@-(R2)",6,8
175,"SUB @(R1)+,@X(R2)",7,9
176,"SUB @-(R1),R2",3,5
177,"SUB @-(R1),(R2)+",5,7
178,"SUB @-(R1),-(R2)",5,7
179,"SUB @-(R1),X(R2)",6,8
180,"SUB @-(R1),@R2",5,7
181,"SUB @-(R1),@(R2)+",6,8
182,"SUB @-(R1),@-(R2)",6,8
183,"SUB @-(R1),@X(R2)",7,9
184,"SUB @X(R1),R2",4,6
185,"SUB @X(R1),(R2)+",6,8
186,"SUB @X(R1),-(R2)",6,8
187,"SUB @X(R1),X(R2)",7,9
188,"SUB @X(R1),@R2",6,8
189,"SUB @X(R1),@(R2)+",7,9
190,"SUB @X(R1),@-(R2)",7,9
191,"SUB @X(R1),@X(R2)",8,10
192,"SBC R1,R2",1,3
193,"SBC R1,(R2)+",3,5
194,"SBC R1,-(R2)",3,5
195,"SBC R1,X(R2)",4,6
196,"SBC R1,@R2",3,5
197,"SBC R1,@(R2)+",4,6
198,"SBC R1,@-(R2)",4,6
199,"SBC R1,@X(R2)",5,7
200,"SBC (R1)+,R2",2,4
201,"SBC (R1)+,(R2)+",4,6
202,"SBC (R1)+,-(R2)",4,6
203,"SBC (R1)+,X(R2)",5,7
204,"SBC (R1)+,@R2",4,6
205,"SBC (R1)+,@(R2)+",5,7
206,"SBC (R1)+,@-(R2)",5,7
207,"SBC (R1)+,@X(R2)",6,8
208,"SBC -(R1),R2",2,4
209,"SBC -(R1),(R2)+",4,6
210,"SBC -(R1),-(R2)",4,6
211,"SBC -(R1),X(R2)",5,7
212,"SBC -(R1),@R2",4,6
213,"SBC -(R1),@(R2)+",5,7
214,"SBC -(R1),@-(R2)",5,7
215,"SBC -(R1),@X(R2)",6,8
216,"SBC X(R1),R2",3,5
217,"SBC X(R1),(R2)+",5,7
218,"SBC X(R1),-(R2)",5,7
219,"SBC X(R1),X(R2)",6,8
220,"SBC X(R1),@R2",5,7
221,"SBC X(R1),@(R2)+",6,8
222,"SBC X(R1),@-(R2)",6,8
223,"SBC X(R1),@X(R2)",7,9
224,"SBC @R1,R2",2,4
225,"SBC @R1,(R2)+",4,6
226,"SBC @R1,-(R2)",4,6
227,"SBC @R1,X(R2)",5,7
228,"SBC @R1,@R2",4,6
229,"SBC @R1,@(R2)+",5,7
230,"SBC @R1,@-(R2)",5,7
231,"SBC @R1,@X(R2)",6,8
232,"SBC @(R1)+,R2",3,5
233,"SBC @(R1)+,(R2)+",5,7
234,"SBC @(R1)+,-(R2)",5,7
235,"SBC @(R1)+,X(R2)",6,8
236,"SBC @(R1)+,@R2",5,7
237,"SBC @(R1)+,@(R2)+",6,8
